Id,Investors,Amount,Valuation,Comment,URL,Confidential,Amount confidential,Date of the funding round,Type,Phase,Canton,Company,Gender CEO,Article Summary
S3573,Kickfund,0.85,,,https://www.startupticker.ch/en/news/kickfund-ventures-invests-at-full-throttle,0.0,0.0,2024-09-06,Non SVCR,Seed,Zürich,Adularia,Female,"Early this year, Kickfund Ventures Fund became operational, with more than  CHF 70 million Assets Under Management, dedicated to promoting the growth and development of Swiss deeptech startups that won the Venture Kick competition. With CHF 10 million already invested in 41 startups, the Fund is activly working towards growing its portfolio to 70 companies this year. Kickfund Ventures Fund I is a new investment fund dedicated to enhancing Switzerland's innovation ecosystem by supporting deep tech startups that have successfully participated in the Venture Kick competition. With an initial closing of CHF 70 million, the fund aims to provide up to CHF 850,000 in funding per company, specifically targeting pre-seed and seed-stage ventures. While the Fund typically aims to invest in up to 25 startups per year, this year was an exception due to a backlog of 91 companies from previous Venture Kick ventures, dating as far back as 2021, which were considered for investment once the Fund became operational at the end of 2023. “The objective is to clear this backlog and enter the next phase of normal investment pace matching Venture Kick's ongoing turnout of Venture Kick stage 3 winners starting 2025”, clarified Wanja Humanes, CEO of KickFund. He added, “We are confident that our portfolio will grow to around 70 companies by the end of the year.” However, the fund’s investment strategy is highly systematic, not automatic. Each decision is made with careful consideration, and the fund reserves the right to decline investments when necessary, as evidenced by its recent choice to pass on two opportunities. With the goal of aligning closely with Venture Kick, the fund has accelerated its activities this year, rapidly expanding its portfolio to 41 companies across 42 investments. Notably, 38 startups have received funding within this year alone. About CHF 10 million has flown into the portfolio. Luya Foods has received funding twice, benefitting from the maximum amount of CHF 850'000 per company, and two other companies are already in the process of a second investment from the fund. The Portfolio comprises the following startups in their respective sectors: Nanotech, Hardware, Robotics a-meta l – metal 3D printing technology for small and medium-sized enterprises (SMEs). Daav – developed DAAV-air, an advanced mobility device for individuals with reduced mobility, particularly in airport environments. Matriq – specializes in polymer marking solutions through its patented DynamicMold technology. Medtech Adiposs – develops ImageBAT, a non-invasive first-in-class CT contrast agent for visualizing and quantifying activated brown adipose tissue. Akina – medical software to enable connected physiotherapy at home Bottneuro – is developing a non-invasive neuromodulation therapy for to deliver precise electrical stimulation to affected brain regions. CustomSurge – data-driven, end-to-end solutions for faster surgeries on complex bone fractures. Flowbone – injectable, “bone-seeding” gel for a quick and subtle, local strengthening of fragile bones. HeroSupport – its device optimizes radiotherapy, minimizing risks, improving outcomes. Neurosoft Bioelectronics SA – soft, implantable electrodes designed to interface with the brain and nervous system Oncobit – cancer monitoring solutions to improve patient outcomes Resmonics (healthcare IT) – Digital Respiratory Biomarkers via smartphones Surgeonslab – patient-specific training models for training surgical procedures and validating new medical devices. DeepSys (healthcare IT) – electroencephalogram (EEG) and electrocardiogram (ECG) analysis as a service leveraging its proprietary medical software. The system extracts features that correlate with the probability of response to psychiatric treatment. Biotech Alithea Genomics –  RNA sequencing and transcriptomics products. ATLyphe AG – aims to replace chemotherapy with antibody-based therapies. Galventa – its flagship product is ""B SYNC ON,"" a clinically tested nutritional supplement designed to support the natural waking process. NexMR – is revolutionsing drug discovery through its advanced nuclear magnetic resonance (NMR) technology. NXI Therapeutics – develops innovative immunotherapies for autoimmune diseases and organ transplantation Recolony – cancer therapies based on bacteria from the gut microbiome Cleantech Antefil Composites –  microengineered hybrid fibers for lightweight structures Biosimo – sustainable bio-based chemicals to replace fossil fuel. Cowa Thermal Solutions – new f thermal storage solutions for buildings. NaturLoop – develops sustainable biocomposites for furniture and construction using agricultural waste. Neology Hydrogen – Ammonia to Hydrogen Generation System that efficiently converts ammonia into high-purity hydrogen. Perovskia Solar – digitally printed, customizable solar cells Seprify – produces sustainable, plant-based functional materials derived from cellulose. SoHHytec – focused on the production of green hydrogen with its system Arb which utilizes solar energy and water to produce hydrogen, oxygen, electricity, and heat simultaneously, SolidWatts –advanced Solid State Power Amplifiers (SSPAs) that utilize microwave (MW) and radio frequency (RF) heating technologies. WattAnyWhere –solutions for electric vehicle (EV) charging through its unique Bioenergy-On-Demand fuel cell system Cultivated Biosciences –GMO-free yeast-based ingredient offering the creaminess needed for plant-based dairy to appeal to flexitarian consumers. Kidemis – uses mycelium-based fermentation technology to convert low-value agricultural side streams into high-quality mycoprotein for aquafeed. Luya Foods – organic plant-based protein alternative ICT Almer Technologies – Augmented Reality (AR) glasses for industrial applications. askEarth – is democratizing access to satellite data through advanced technology, particularly Natural Language Processing (NLP) and Large Language Models. AtlasVR – develops virtual reality (VR) training solutions, primarily aimed at the Mechanical Electrical and Metal (MEM) industry. Correntics – climate risk analytics, focusing on enhancing supply chain resilience in the face of climate change. School Rebound – developed digital tools to help children overcome learning difficulties, particularly in handwriting. Mark Investment (Splint Invest) – alternative investments platform Vamoz – is focused on facilitating remote work abroad. Isochronic – developed software-driven industrial robotic systems that enable, for the first time, the simultaneous transport of multiple parts (RAN)"
S3574,Kickfund,0.85,,,https://www.startupticker.ch/en/news/kickfund-ventures-invests-at-full-throttle,0.0,0.0,2024-09-06,Non SVCR,Seed,Zürich,Resmonics AG,Male,"Early this year, Kickfund Ventures Fund became operational, with more than  CHF 70 million Assets Under Management, dedicated to promoting the growth and development of Swiss deeptech startups that won the Venture Kick competition. With CHF 10 million already invested in 41 startups, the Fund is activly working towards growing its portfolio to 70 companies this year. Kickfund Ventures Fund I is a new investment fund dedicated to enhancing Switzerland's innovation ecosystem by supporting deep tech startups that have successfully participated in the Venture Kick competition. With an initial closing of CHF 70 million, the fund aims to provide up to CHF 850,000 in funding per company, specifically targeting pre-seed and seed-stage ventures. While the Fund typically aims to invest in up to 25 startups per year, this year was an exception due to a backlog of 91 companies from previous Venture Kick ventures, dating as far back as 2021, which were considered for investment once the Fund became operational at the end of 2023. “The objective is to clear this backlog and enter the next phase of normal investment pace matching Venture Kick's ongoing turnout of Venture Kick stage 3 winners starting 2025”, clarified Wanja Humanes, CEO of KickFund. He added, “We are confident that our portfolio will grow to around 70 companies by the end of the year.” However, the fund’s investment strategy is highly systematic, not automatic. Each decision is made with careful consideration, and the fund reserves the right to decline investments when necessary, as evidenced by its recent choice to pass on two opportunities. With the goal of aligning closely with Venture Kick, the fund has accelerated its activities this year, rapidly expanding its portfolio to 41 companies across 42 investments. Notably, 38 startups have received funding within this year alone. About CHF 10 million has flown into the portfolio. Luya Foods has received funding twice, benefitting from the maximum amount of CHF 850'000 per company, and two other companies are already in the process of a second investment from the fund. The Portfolio comprises the following startups in their respective sectors: Nanotech, Hardware, Robotics a-meta l – metal 3D printing technology for small and medium-sized enterprises (SMEs). Daav – developed DAAV-air, an advanced mobility device for individuals with reduced mobility, particularly in airport environments. Matriq – specializes in polymer marking solutions through its patented DynamicMold technology. Medtech Adiposs – develops ImageBAT, a non-invasive first-in-class CT contrast agent for visualizing and quantifying activated brown adipose tissue. Akina – medical software to enable connected physiotherapy at home Bottneuro – is developing a non-invasive neuromodulation therapy for to deliver precise electrical stimulation to affected brain regions. CustomSurge – data-driven, end-to-end solutions for faster surgeries on complex bone fractures. Flowbone – injectable, “bone-seeding” gel for a quick and subtle, local strengthening of fragile bones. HeroSupport – its device optimizes radiotherapy, minimizing risks, improving outcomes. Neurosoft Bioelectronics SA – soft, implantable electrodes designed to interface with the brain and nervous system Oncobit – cancer monitoring solutions to improve patient outcomes Resmonics (healthcare IT) – Digital Respiratory Biomarkers via smartphones Surgeonslab – patient-specific training models for training surgical procedures and validating new medical devices. DeepSys (healthcare IT) – electroencephalogram (EEG) and electrocardiogram (ECG) analysis as a service leveraging its proprietary medical software. The system extracts features that correlate with the probability of response to psychiatric treatment. Biotech Alithea Genomics –  RNA sequencing and transcriptomics products. ATLyphe AG – aims to replace chemotherapy with antibody-based therapies. Galventa – its flagship product is ""B SYNC ON,"" a clinically tested nutritional supplement designed to support the natural waking process. NexMR – is revolutionsing drug discovery through its advanced nuclear magnetic resonance (NMR) technology. NXI Therapeutics – develops innovative immunotherapies for autoimmune diseases and organ transplantation Recolony – cancer therapies based on bacteria from the gut microbiome Cleantech Antefil Composites –  microengineered hybrid fibers for lightweight structures Biosimo – sustainable bio-based chemicals to replace fossil fuel. Cowa Thermal Solutions – new f thermal storage solutions for buildings. NaturLoop – develops sustainable biocomposites for furniture and construction using agricultural waste. Neology Hydrogen – Ammonia to Hydrogen Generation System that efficiently converts ammonia into high-purity hydrogen. Perovskia Solar – digitally printed, customizable solar cells Seprify – produces sustainable, plant-based functional materials derived from cellulose. SoHHytec – focused on the production of green hydrogen with its system Arb which utilizes solar energy and water to produce hydrogen, oxygen, electricity, and heat simultaneously, SolidWatts –advanced Solid State Power Amplifiers (SSPAs) that utilize microwave (MW) and radio frequency (RF) heating technologies. WattAnyWhere –solutions for electric vehicle (EV) charging through its unique Bioenergy-On-Demand fuel cell system Cultivated Biosciences –GMO-free yeast-based ingredient offering the creaminess needed for plant-based dairy to appeal to flexitarian consumers. Kidemis – uses mycelium-based fermentation technology to convert low-value agricultural side streams into high-quality mycoprotein for aquafeed. Luya Foods – organic plant-based protein alternative ICT Almer Technologies – Augmented Reality (AR) glasses for industrial applications. askEarth – is democratizing access to satellite data through advanced technology, particularly Natural Language Processing (NLP) and Large Language Models. AtlasVR – develops virtual reality (VR) training solutions, primarily aimed at the Mechanical Electrical and Metal (MEM) industry. Correntics – climate risk analytics, focusing on enhancing supply chain resilience in the face of climate change. School Rebound – developed digital tools to help children overcome learning difficulties, particularly in handwriting. Mark Investment (Splint Invest) – alternative investments platform Vamoz – is focused on facilitating remote work abroad. Isochronic – developed software-driven industrial robotic systems that enable, for the first time, the simultaneous transport of multiple parts (RAN)"
S3576,Kickfund,0.85,,,https://www.startupticker.ch/en/news/kickfund-ventures-invests-at-full-throttle,0.0,0.0,2024-09-06,Non SVCR,Seed,FR,Seprify AG,Male,"Early this year, Kickfund Ventures Fund became operational, with more than  CHF 70 million Assets Under Management, dedicated to promoting the growth and development of Swiss deeptech startups that won the Venture Kick competition. With CHF 10 million already invested in 41 startups, the Fund is activly working towards growing its portfolio to 70 companies this year. Kickfund Ventures Fund I is a new investment fund dedicated to enhancing Switzerland's innovation ecosystem by supporting deep tech startups that have successfully participated in the Venture Kick competition. With an initial closing of CHF 70 million, the fund aims to provide up to CHF 850,000 in funding per company, specifically targeting pre-seed and seed-stage ventures. While the Fund typically aims to invest in up to 25 startups per year, this year was an exception due to a backlog of 91 companies from previous Venture Kick ventures, dating as far back as 2021, which were considered for investment once the Fund became operational at the end of 2023. “The objective is to clear this backlog and enter the next phase of normal investment pace matching Venture Kick's ongoing turnout of Venture Kick stage 3 winners starting 2025”, clarified Wanja Humanes, CEO of KickFund. He added, “We are confident that our portfolio will grow to around 70 companies by the end of the year.” However, the fund’s investment strategy is highly systematic, not automatic. Each decision is made with careful consideration, and the fund reserves the right to decline investments when necessary, as evidenced by its recent choice to pass on two opportunities. With the goal of aligning closely with Venture Kick, the fund has accelerated its activities this year, rapidly expanding its portfolio to 41 companies across 42 investments. Notably, 38 startups have received funding within this year alone. About CHF 10 million has flown into the portfolio. Luya Foods has received funding twice, benefitting from the maximum amount of CHF 850'000 per company, and two other companies are already in the process of a second investment from the fund. The Portfolio comprises the following startups in their respective sectors: Nanotech, Hardware, Robotics a-meta l – metal 3D printing technology for small and medium-sized enterprises (SMEs). Daav – developed DAAV-air, an advanced mobility device for individuals with reduced mobility, particularly in airport environments. Matriq – specializes in polymer marking solutions through its patented DynamicMold technology. Medtech Adiposs – develops ImageBAT, a non-invasive first-in-class CT contrast agent for visualizing and quantifying activated brown adipose tissue. Akina – medical software to enable connected physiotherapy at home Bottneuro – is developing a non-invasive neuromodulation therapy for to deliver precise electrical stimulation to affected brain regions. CustomSurge – data-driven, end-to-end solutions for faster surgeries on complex bone fractures. Flowbone – injectable, “bone-seeding” gel for a quick and subtle, local strengthening of fragile bones. HeroSupport – its device optimizes radiotherapy, minimizing risks, improving outcomes. Neurosoft Bioelectronics SA – soft, implantable electrodes designed to interface with the brain and nervous system Oncobit – cancer monitoring solutions to improve patient outcomes Resmonics (healthcare IT) – Digital Respiratory Biomarkers via smartphones Surgeonslab – patient-specific training models for training surgical procedures and validating new medical devices. DeepSys (healthcare IT) – electroencephalogram (EEG) and electrocardiogram (ECG) analysis as a service leveraging its proprietary medical software. The system extracts features that correlate with the probability of response to psychiatric treatment. Biotech Alithea Genomics –  RNA sequencing and transcriptomics products. ATLyphe AG – aims to replace chemotherapy with antibody-based therapies. Galventa – its flagship product is ""B SYNC ON,"" a clinically tested nutritional supplement designed to support the natural waking process. NexMR – is revolutionsing drug discovery through its advanced nuclear magnetic resonance (NMR) technology. NXI Therapeutics – develops innovative immunotherapies for autoimmune diseases and organ transplantation Recolony – cancer therapies based on bacteria from the gut microbiome Cleantech Antefil Composites –  microengineered hybrid fibers for lightweight structures Biosimo – sustainable bio-based chemicals to replace fossil fuel. Cowa Thermal Solutions – new f thermal storage solutions for buildings. NaturLoop – develops sustainable biocomposites for furniture and construction using agricultural waste. Neology Hydrogen – Ammonia to Hydrogen Generation System that efficiently converts ammonia into high-purity hydrogen. Perovskia Solar – digitally printed, customizable solar cells Seprify – produces sustainable, plant-based functional materials derived from cellulose. SoHHytec – focused on the production of green hydrogen with its system Arb which utilizes solar energy and water to produce hydrogen, oxygen, electricity, and heat simultaneously, SolidWatts –advanced Solid State Power Amplifiers (SSPAs) that utilize microwave (MW) and radio frequency (RF) heating technologies. WattAnyWhere –solutions for electric vehicle (EV) charging through its unique Bioenergy-On-Demand fuel cell system Cultivated Biosciences –GMO-free yeast-based ingredient offering the creaminess needed for plant-based dairy to appeal to flexitarian consumers. Kidemis – uses mycelium-based fermentation technology to convert low-value agricultural side streams into high-quality mycoprotein for aquafeed. Luya Foods – organic plant-based protein alternative ICT Almer Technologies – Augmented Reality (AR) glasses for industrial applications. askEarth – is democratizing access to satellite data through advanced technology, particularly Natural Language Processing (NLP) and Large Language Models. AtlasVR – develops virtual reality (VR) training solutions, primarily aimed at the Mechanical Electrical and Metal (MEM) industry. Correntics – climate risk analytics, focusing on enhancing supply chain resilience in the face of climate change. School Rebound – developed digital tools to help children overcome learning difficulties, particularly in handwriting. Mark Investment (Splint Invest) – alternative investments platform Vamoz – is focused on facilitating remote work abroad. Isochronic – developed software-driven industrial robotic systems that enable, for the first time, the simultaneous transport of multiple parts (RAN)"
S3577,Kickfund,0.85,,,https://www.startupticker.ch/en/news/kickfund-ventures-invests-at-full-throttle,0.0,0.0,2024-09-06,Non SVCR,Seed,VD,SoHHytec SA,Male,"Early this year, Kickfund Ventures Fund became operational, with more than  CHF 70 million Assets Under Management, dedicated to promoting the growth and development of Swiss deeptech startups that won the Venture Kick competition. With CHF 10 million already invested in 41 startups, the Fund is activly working towards growing its portfolio to 70 companies this year. Kickfund Ventures Fund I is a new investment fund dedicated to enhancing Switzerland's innovation ecosystem by supporting deep tech startups that have successfully participated in the Venture Kick competition. With an initial closing of CHF 70 million, the fund aims to provide up to CHF 850,000 in funding per company, specifically targeting pre-seed and seed-stage ventures. While the Fund typically aims to invest in up to 25 startups per year, this year was an exception due to a backlog of 91 companies from previous Venture Kick ventures, dating as far back as 2021, which were considered for investment once the Fund became operational at the end of 2023. “The objective is to clear this backlog and enter the next phase of normal investment pace matching Venture Kick's ongoing turnout of Venture Kick stage 3 winners starting 2025”, clarified Wanja Humanes, CEO of KickFund. He added, “We are confident that our portfolio will grow to around 70 companies by the end of the year.” However, the fund’s investment strategy is highly systematic, not automatic. Each decision is made with careful consideration, and the fund reserves the right to decline investments when necessary, as evidenced by its recent choice to pass on two opportunities. With the goal of aligning closely with Venture Kick, the fund has accelerated its activities this year, rapidly expanding its portfolio to 41 companies across 42 investments. Notably, 38 startups have received funding within this year alone. About CHF 10 million has flown into the portfolio. Luya Foods has received funding twice, benefitting from the maximum amount of CHF 850'000 per company, and two other companies are already in the process of a second investment from the fund. The Portfolio comprises the following startups in their respective sectors: Nanotech, Hardware, Robotics a-meta l – metal 3D printing technology for small and medium-sized enterprises (SMEs). Daav – developed DAAV-air, an advanced mobility device for individuals with reduced mobility, particularly in airport environments. Matriq – specializes in polymer marking solutions through its patented DynamicMold technology. Medtech Adiposs – develops ImageBAT, a non-invasive first-in-class CT contrast agent for visualizing and quantifying activated brown adipose tissue. Akina – medical software to enable connected physiotherapy at home Bottneuro – is developing a non-invasive neuromodulation therapy for to deliver precise electrical stimulation to affected brain regions. CustomSurge – data-driven, end-to-end solutions for faster surgeries on complex bone fractures. Flowbone – injectable, “bone-seeding” gel for a quick and subtle, local strengthening of fragile bones. HeroSupport – its device optimizes radiotherapy, minimizing risks, improving outcomes. Neurosoft Bioelectronics SA – soft, implantable electrodes designed to interface with the brain and nervous system Oncobit – cancer monitoring solutions to improve patient outcomes Resmonics (healthcare IT) – Digital Respiratory Biomarkers via smartphones Surgeonslab – patient-specific training models for training surgical procedures and validating new medical devices. DeepSys (healthcare IT) – electroencephalogram (EEG) and electrocardiogram (ECG) analysis as a service leveraging its proprietary medical software. The system extracts features that correlate with the probability of response to psychiatric treatment. Biotech Alithea Genomics –  RNA sequencing and transcriptomics products. ATLyphe AG – aims to replace chemotherapy with antibody-based therapies. Galventa – its flagship product is ""B SYNC ON,"" a clinically tested nutritional supplement designed to support the natural waking process. NexMR – is revolutionsing drug discovery through its advanced nuclear magnetic resonance (NMR) technology. NXI Therapeutics – develops innovative immunotherapies for autoimmune diseases and organ transplantation Recolony – cancer therapies based on bacteria from the gut microbiome Cleantech Antefil Composites –  microengineered hybrid fibers for lightweight structures Biosimo – sustainable bio-based chemicals to replace fossil fuel. Cowa Thermal Solutions – new f thermal storage solutions for buildings. NaturLoop – develops sustainable biocomposites for furniture and construction using agricultural waste. Neology Hydrogen – Ammonia to Hydrogen Generation System that efficiently converts ammonia into high-purity hydrogen. Perovskia Solar – digitally printed, customizable solar cells Seprify – produces sustainable, plant-based functional materials derived from cellulose. SoHHytec – focused on the production of green hydrogen with its system Arb which utilizes solar energy and water to produce hydrogen, oxygen, electricity, and heat simultaneously, SolidWatts –advanced Solid State Power Amplifiers (SSPAs) that utilize microwave (MW) and radio frequency (RF) heating technologies. WattAnyWhere –solutions for electric vehicle (EV) charging through its unique Bioenergy-On-Demand fuel cell system Cultivated Biosciences –GMO-free yeast-based ingredient offering the creaminess needed for plant-based dairy to appeal to flexitarian consumers. Kidemis – uses mycelium-based fermentation technology to convert low-value agricultural side streams into high-quality mycoprotein for aquafeed. Luya Foods – organic plant-based protein alternative ICT Almer Technologies – Augmented Reality (AR) glasses for industrial applications. askEarth – is democratizing access to satellite data through advanced technology, particularly Natural Language Processing (NLP) and Large Language Models. AtlasVR – develops virtual reality (VR) training solutions, primarily aimed at the Mechanical Electrical and Metal (MEM) industry. Correntics – climate risk analytics, focusing on enhancing supply chain resilience in the face of climate change. School Rebound – developed digital tools to help children overcome learning difficulties, particularly in handwriting. Mark Investment (Splint Invest) – alternative investments platform Vamoz – is focused on facilitating remote work abroad. Isochronic – developed software-driven industrial robotic systems that enable, for the first time, the simultaneous transport of multiple parts (RAN)"
S3969,"Hack VC, Animoca Brand, IOSG Ventures, Bloccelerate VC",9.52,,,https://www.gelato.network/blog/Gelato-raises-Series-A-announces-Ink-layer2-Kraken,0.0,0.0,2024-10-28,VC,Early Stage,ZG,Gelato Digital GmbH,Male,
S3967,Swiss Founders Fund,,,,https://www.startupticker.ch/en/news/wolfpak-gewinnt-swiss-founders-fund-als-investor,0.0,1.0,2024-12-13,VC,Early Stage,Zürich,Wolfpak GmbH,Female,"Half a year after the launch of its AI-based training software for managers, the Zurich startup Wolfpak already carried out over 1000 individual assessments and trained over 500 managers.Now Wolfpak has received an investment from the Swiss Founders Fund for further development.The two Wolfpak founders Diana Engetschwiler (formerly Co-CEO Digitalswitzerland) and Katia Murmann (formerly Management Team Blick-Group, Ringier Global Media) launched a AI-based B2B platform ""Wolfpak.ai"" at the end of May 2024.The platform supports managers in individual development.On the one hand, around 500 leaders trained on the one hand via the app or visited workshops.A total of over 1000 managers have already completed an assessment via Wolfpak and used further offers from the startup.Now Wolfpak from Swiss Founders Fund has received an investment.Fresh capital flows into the further development of Wolfpak.""For the next phase of our product development 2025, we start a co-creation with three to four organizations,"" said co-CEO Katia Murmann.These include those from the sports area.Murmann: ""Since we work with training methods from sport, we have also identified companies and organizations in the field of sports as an exciting market and were able to win a first customer from this segment with the Swiss Handball Association.""In the meantime, the two founders were able to expand their founding team with Hermann Arnold.""Hermann initially got on as an investor - but was so enthusiastic about Wolfpak's potential that he is also actively involved in management as a co -founder,"" said Murmann.The co -founder and former CEO of Umantis convinced, above all, the approach of training leadership as in sports and using artificial intelligence.The co-founder adds: ""His many years of experience as a successful entrepreneur in the area of ​​HR Tech are a big win for us and we are very happy that he has entered us as a co-founder.""Patrick Degen, partner at the Swiss Founders Fund, is also convinced of the composition: «What distinguishes Wolfpak is the extraordinary start -up team.The founders create a powerful combination with Hermann Arnold, an experienced HR entrepreneur. »(Press Release / FR) Image: Wolfpak founder Katia Murmann (left) and Diana Engetschwiler;ZVG"
1725,"Zürcher Kantonalbank, private investors",1.0,,,https://www.startupticker.ch/en/news/november-217/embotech-raises-chf-1m,0.0,0.0,2017-11-01,VC,Seed,ZH,embotech AG,Male,"The Zurich based startup Embotech AG, developing decision-making software solutions for autonomous systems, has raised CHF 1 million in a seed financing round. The funds will be used to adapt its core technology for automotive applications and to fund go-to-market activities. Lead investors in the round are Swiss business angels and the Zürcher Kantonalbank (ZKB). Established as a spinoff of the Automatic Control Laboratory of ETH Zurich, embotech developed a state-of-the-art numerical optimization software (Forces Pro) that powers complex real-time decision-making engines in a variety of applications in the energy, aerospace and automotive domains. The software promotes new ways of building and designing complex control systems. Forces Pro is currently used to smartly control next generation wind turbines, which can be built using less steel. It is also used to plan the collision-free motion of autonomous drones for filming purposes. Since last year, embotech is working with the Future Launchers Preparatory Program of the European Space Agency (ESA) to develop new flight guidance software to enable pinpoint landing of spacecraft on other planets or for returning re-usable rockets to Earth. In the automotive domain , FORCES Pro is used to develop various Advanced Driver Assistance Systems (ADAS) features. Embotech is now developing tailored motion planning modules for various autonomous driving tasks. The racing module has been integrated by the Formula Student Driverless team of ETH Zürich, which won the first ever event at the Hockenheimring last August. The seed financing round has been closed in July 2017. Embotech has received the CTI Startup Label in October 2017, and has joined the ESA Business Incubator in May 2017."
S3940,"Bolt's Capital, Alpha Token Capital, and Enflux.",10.3,,"In Schweiz nur Verein, Mitarbeiter hauptsächlich in Ukraine, in CH kein Mitarbeiter. Webseite im Dezember 2024 nicht erreichbar.",https://tech.eu/2024/12/13/waterfall-network-raises-116m-for-smart-contract-platform-development,0.0,0.0,2024-12-14,Non SVCR,,ZG,Waterfall DAO,,
S3962,TKIL Industries Pvt. Ltd.,,,"TKIL Industries Pvt. Ltd. (formerly known as thyssenkrupp Industries India Pvt. Ltd.),",https://tkil.com/ND/Press-Release.aspx,0.0,0.0,2024-12-03,Strategic Investment,Early Stage,VD,SoHHytec SA,Male,
S3961,"A16Z GAMES SPEEDRUN, Boost VC, YCombinator, business angels",1.73,,,https://www.startupticker.ch/en/news/nunu-ai-secures-usd-2-million-in-pre-seed-funding,0.0,0.0,2024-08-14,VC,Seed,Schwyz,Generai AG (nunu.ai),Male,"Using multimodal models, nunu.ai develops AI agents that can play and test games, saving the industry hours of manual testing and related costs. The Zurich based startup has raised two million US dollars from investors including A16Z GAMES SPEEDRUN, YCombinator and business angels. The funds will fuel product development. While quality is a critical factor in the gaming industry, the process of testing games is still manual. Studios invest countless hours in testing games for bugs, balancing gameplay, and ensuring a smooth player experience. The repetitive and manual nature of these tasks not only strains resources but can also lead to missed opportunities for innovation and improvement. Swiss startup nunu.ai is building the first multimodal AI agents to test and play games. The agents are designed to automate and enhance various aspects of game development, starting with quality assurance. Like humans, the agents can play games and reason, while providing valuable insights and feedback (see example here ). With moderate adjustments, the AI can adapt to any game. “Game testing has seen no automation so far. We want to be the first ones to bring large scale automation to the game testing field. The real strength of our technology lies in its generalizability. Our initial focus on game quality assurance and want to use it as a launch pad for further applications beyond gaming later”, says Jan Schnyder, founder of nunu.ai. Founded by Jan Schnyder, Kyrill Hux and Nicolas Muntwyler, Nunu.ai, which goes by the legal name Generai AG in Switzerland, is a hybrid company operating between Switzerland and US, with all employees based in Switzerland. The company concentrates on the European and US markets, initially targeting mid to large-sized gaming studios in the gaming sector. With its MVP, the company has ongoing paid pilots with early customers. The recently closed pre-seed funding saw the early-stage startup raise $2M pre-seed round. A16Z GAMES SPEEDRUN - an early-stage accelerator for startups at the intersection of Tech and Games, Boost VC , Y Combinator, and business angels participated in the round. The proceeds will facilitate product development and serving customers. (RAN)"
S3959,SWK Funding LLC,9.38,,,https://www.startupticker.ch/en/news/relief-therapeutics-secures-up-to-11-million,0.0,0.0,2024-08-05,Non SVCR,Later Stage,Genève,Relief Therapeutics Holding SA,Male,"The transaction between Relief Therapeutics and SWK Funding LLC provides the Geneva based biotech with non-dilutive funding to advance its pipeline, including the clinical development of its patent-protected hypochlorous acid topical spray, RLF-TD011, for treating epidermolysis bullosa. The funding will also be used for working capital and general corporate purposes. Relief Therapeutics, which focuses on the development and commercialization of patent-protected drugs for rare and ultra-rare diseases, announced the signing and closing of a definitive agreement with SWK Funding LLC (SWK), a wholly-owned subsidiary of SWK Holdings Corporation, for the sale of royalty interests in OLPRUVA®, GOLIKE® and CAMBIA® in exchange for up to U.S. $11 million in cash consideration. Under the terms of the agreement, Relief received $5.75 million from SWK and may receive an additional $5.25 million contingent on the achievement of near-term milestones. These include $3.25 million if OLPRUVA's quarterly net sales reach $1.5 million by the end of the third quarter of 2025, and $2 million if Zevra Therapeutics Inc. (Zevra) secures this year NDA approval from the U.S. FDA for arimoclomol to treat Niemann-Pick Disease Type C (NPC). The FDA Genetic Metabolic Diseases Advisory Committee recently voted in favor of arimoclomol's effectiveness for treating NPC; their recommendation will be considered in the FDA's decision expected on September 21, 2024. SWK acquired all future OLPRUVA royalties from Relief's August 2023 agreement with Acer Therapeutics Inc. (Acer), a wholly-owned subsidiary of Zevra. Neither SWK nor Relief are entitled to any future royalties associated with arimoclomol from Acer. Additionally, SWK acquired all future royalties and milestone payments from the March 2024 license agreement with Eton Pharmaceuticals Inc. for the commercialization of the GOLIKE product family in the United States. Relief retains significant upside potential, with SWK returning to Relief 80% of OLPRUVA royalties over $2.25 million annually and all royalties over $4.5 million. For GOLIKE, SWK will return 80% of GOLIKE royalties over $1.32 million annually and all royalties over $1.98 million. In any case, the agreement will terminate, and all royalties will revert to Relief once SWK has received 2.75 times its invested capital. (Press release)"
